HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:8364	OR7A1P	olfactory receptor family 7 subfamily A member 1 pseudogene	Approved	OR7A6P	OR19-3, OLF4p, hg513	19p13.12			OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8370	OR7A2P	olfactory receptor family 7 subfamily A member 2 pseudogene	Approved	OR7A7, OR7A2	hg1003, OR19-18, OLF4p	19p13.12			OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8366	OR7A3P	olfactory receptor family 7 subfamily A member 3 pseudogene	Approved	OR7A12P, OR7A14P, OR7A14, OR7A13P	OR11-7b, OR19-12, OR14-59, OR14-11	19p13.12	AF065859		OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8368	OR7A5	olfactory receptor family 7 subfamily A member 5	Approved		HTPCR2	19p13.1	X64976	NM_017506	OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8371	OR7A8P	olfactory receptor family 7 subfamily A member 8 pseudogene	Approved	OR7A9P	OST042, HG83, OR19-11	19p13.12	AF399434		OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8356	OR7A10	olfactory receptor family 7 subfamily A member 10	Approved			19p13.1		NM_001005190	OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8357	OR7A11P	olfactory receptor family 7 subfamily A member 11 pseudogene	Approved	OR7A11	OST527	19p13.12			OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8361	OR7A15P	olfactory receptor family 7 subfamily A member 15 pseudogene	Approved	OR7A4P, OR7A16P, OR7A20P	OR19-134, OR19-1, OR19-146	19p13.12	U86253		OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8363	OR7A17	olfactory receptor family 7 subfamily A member 17	Approved		HTPCRX19	19p13.12	X64993	NM_030901	OR7	"GPCR / Class A : Olfactory receptors"
HGNC:15399	OR7A18P	olfactory receptor family 7 subfamily A member 18 pseudogene	Approved			19p13.12			OR7	"GPCR / Class A : Olfactory receptors"
HGNC:15337	OR7A19P	olfactory receptor family 7 subfamily A member 19 pseudogene	Approved			12q13.11	AC008035		OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8373	OR7C1	olfactory receptor family 7 subfamily C member 1	Approved	OR7C4	OR19-5	19p13.1	X89676		OR7	"GPCR / Class A : Olfactory receptors"
HGNC:8374	OR7C2	olfactory receptor family 7 subfamily C member 2	Approved	OR7C3	OR19-18	19p13.1	U86255		OR7	"GPCR / Class A : Olfactory receptors"
